source,msbf,age,d18O_raw,fullsp,d18O_species,d18O,origin,ref,notes
DSDP 305,159.37,68.87040325,1.18,Aragonia velascoensis,1.18,1.18,Cramer2009,BarreraSavin99,"In Cramer et al., 2009, compilation."
DSDP 305,160.27,69.23926318,1.23,Aragonia velascoensis,1.23,1.23,Cramer2009,BarreraSavin99,"In Cramer et al., 2009, compilation."
DSDP 305,161.65,69.8048484,1.19,Aragonia velascoensis,1.19,1.19,Cramer2009,BarreraSavin99,"In Cramer et al., 2009, compilation."
DSDP 305,224.99,75.53090628,0.42,mixed benthics,0.42,0.42,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,232.45,76.19296173,0.58,mixed benthics,0.58,0.58,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,205.49,73.81082753,0.41,Nuttallides truempyi,0.57,0.57,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,205.99,73.85763189,0.6,Nuttallides truempyi,0.79,0.79,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,206.49,73.90443625,0.15,Nuttallides truempyi,0.28,0.28,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,206.99,73.95124061,0.18,Nuttallides truempyi,0.31,0.31,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,207.99,74.04484933,0.1,Nuttallides truempyi,0.22,0.22,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,208.49,74.09165369,0.31,Nuttallides truempyi,0.46,0.46,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,209.49,74.18526241,0.3,Nuttallides truempyi,0.45,0.45,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,209.99,74.23206677,0.33,Nuttallides truempyi,0.48,0.48,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,210.49,74.27600082,0.23,Nuttallides truempyi,0.37,0.37,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,211.49,74.36143562,0.15,Nuttallides truempyi,0.28,0.28,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,212.49,74.44687042,0.07,Nuttallides truempyi,0.19,0.19,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,214.99,74.66045742,0.21,Nuttallides truempyi,0.35,0.35,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,215.49,74.70317482,0.08,Nuttallides truempyi,0.2,0.2,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,215.94,74.74162048,0.19,Nuttallides truempyi,0.33,0.33,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,216.5,74.78946396,0.29,Nuttallides truempyi,0.44,0.44,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,216.99,74.83132701,0.28,Nuttallides truempyi,0.43,0.43,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,217.49,74.87404441,0.27,Nuttallides truempyi,0.42,0.42,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,217.98,74.91590746,0.39,Nuttallides truempyi,0.55,0.55,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,218.49,74.95947921,0.31,Nuttallides truempyi,0.46,0.46,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,219.45,75.04366075,0.39,Nuttallides truempyi,0.55,0.55,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,219.99,75.091154,0.48,Nuttallides truempyi,0.65,0.65,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,220.48,75.13424972,0.42,Nuttallides truempyi,0.58,0.58,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,220.97,75.17734545,0.33,Nuttallides truempyi,0.48,0.48,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,221.49,75.22307968,0.49,Nuttallides truempyi,0.66,0.66,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,224.56,75.49308759,0.28,Nuttallides truempyi,0.43,0.43,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,225.49,75.57488151,0.35,Nuttallides truempyi,0.51,0.51,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,225.98,75.61797723,0.35,Nuttallides truempyi,0.51,0.51,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,226.46,75.66019345,0.18,Nuttallides truempyi,0.31,0.31,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,226.96,75.70438427,0.28,Nuttallides truempyi,0.43,0.43,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,227.41,75.7444316,0.19,Nuttallides truempyi,0.33,0.33,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,227.9,75.7880387,0.23,Nuttallides truempyi,0.37,0.37,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,228.4,75.83253574,0.19,Nuttallides truempyi,0.33,0.33,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,228.92,75.87881265,0.32,Nuttallides truempyi,0.47,0.47,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,229.4,75.92152981,0.1,Nuttallides truempyi,0.22,0.22,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,229.98,75.97314637,0.22,Nuttallides truempyi,0.36,0.36,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,230.45,76.01497359,0.22,Nuttallides truempyi,0.36,0.36,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,231.97,76.15024458,0.26,Nuttallides truempyi,0.4,0.4,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
DSDP 305,233.99,76.33001261,0.2,Nuttallides truempyi,0.34,0.34,"Friedrich et al., 2012","Friedrich et al., 2012","In Friedrich et al., 2012"
