source,age_ka,age,d18O,d18O_sw,sealevel
Vema 1930,0,0,2.87,0.14,-10.86
Vema 1930,1.31,0.00131,2.84,0.11,-8.46
Vema 1930,2.84,0.00284,2.67,-0.06,5.14
Vema 1930,3.57,0.00357,2.79,0.06,-4.46
Vema 1930,4.31,0.00431,2.63,-0.1,8.34
Vema 1930,5.45,0.00545,2.76,0.03,-2.06
Vema 1930,6.13,0.00613,2.75,0.02,-1.26
Vema 1930,6.77,0.00677,2.65,-0.08,6.74
Vema 1930,7.71,0.00771,2.92,0.19,-14.86
Vema 1930,8.9,0.0089,2.92,0.19,-14.86
Vema 1930,9.48,0.00948,2.88,0.15,-11.66
Vema 1930,10.03,0.01003,2.89,0.16,-12.46
Vema 1930,10.55,0.01055,2.82,0.09,-6.86
Vema 1930,10.98,0.01098,2.84,0.11,-8.46
Vema 1930,11.5,0.0115,2.82,0.09,-6.86
Vema 1930,11.88,0.01188,3.21,0.48,-38.06
Vema 1930,12.26,0.01226,3.05,0.32,-25.26
Vema 1930,12.6,0.0126,3.23,0.5,-39.66
Vema 1930,12.92,0.01292,2.78,0.05,-3.66
Vema 1930,13.24,0.01324,3.34,0.61,-48.46
Vema 1930,13.54,0.01354,3.26,0.23,-18.03
Vema 1930,13.84,0.01384,3.23,0.2,-15.63
Vema 1930,14.13,0.01413,3.25,0.22,-17.23
Vema 1930,14.43,0.01443,3.74,0.71,-56.43
Vema 1930,14.73,0.01473,3.46,0.43,-34.03
Vema 1930,15.02,0.01502,3.61,0.58,-46.03
Vema 1930,15.31,0.01531,3.52,0.49,-38.83
Vema 1930,15.59,0.01559,3.8,0.77,-61.23
Vema 1930,15.88,0.01588,4.09,1.06,-84.43
Vema 1930,16.16,0.01616,4,0.97,-77.23
Vema 1930,16.54,0.01654,4.2,1.17,-93.23
Vema 1930,16.83,0.01683,4.27,1.24,-98.83
Vema 1930,17.11,0.01711,4.28,1.25,-99.63
Vema 1930,17.39,0.01739,4.19,1.16,-92.43
Vema 1930,17.67,0.01767,4.15,1.12,-89.23
Vema 1930,17.95,0.01795,4.58,1.55,-123.63
Vema 1930,18.23,0.01823,4.56,1.53,-122.03
Vema 1930,18.5,0.0185,4.44,1.41,-112.43
Vema 1930,18.76,0.01876,4.35,1.32,-105.23
Vema 1930,19.03,0.01903,4.51,1.48,-118.03
Vema 1930,19.26,0.01926,4.49,1.46,-116.43
Vema 1930,19.53,0.01953,4.36,1.33,-106.03
Vema 1930,19.77,0.01977,4.34,1.31,-104.43
Vema 1930,20,0.02,4.23,1.2,-95.63
Vema 1930,20.24,0.02024,4.48,1.45,-115.63
Vema 1930,20.47,0.02047,4.5,1.47,-117.23
Vema 1930,20.84,0.02084,4.32,1.29,-102.83
Vema 1930,21.13,0.02113,4.31,1.28,-102.03
Vema 1930,21.34,0.02134,4.43,1.4,-111.63
Vema 1930,21.55,0.02155,4.46,1.43,-114.03
Vema 1930,21.76,0.02176,4.25,1.22,-97.23
Vema 1930,21.96,0.02196,4.41,1.38,-110.03
Vema 1930,22.17,0.02217,4.35,1.32,-105.23
Vema 1930,22.37,0.02237,4.36,1.33,-106.03
Vema 1930,22.57,0.02257,4.25,1.22,-97.23
Vema 1930,22.77,0.02277,4.25,1.22,-97.23
Vema 1930,22.97,0.02297,4.32,1.29,-102.83
Vema 1930,23.17,0.02317,4.32,1.29,-102.83
Vema 1930,23.37,0.02337,4.34,1.31,-104.43
Vema 1930,23.57,0.02357,4.29,1.26,-100.43
Vema 1930,23.77,0.02377,4.29,1.26,-100.43
Vema 1930,23.97,0.02397,4.48,1.45,-115.63
Vema 1930,24.17,0.02417,4.32,1.29,-102.83
Vema 1930,24.37,0.02437,4.33,1.3,-103.63
Vema 1930,24.58,0.02458,4.3,1.27,-101.23
Vema 1930,24.79,0.02479,4.23,1.2,-95.63
Vema 1930,25,0.025,4.32,1.29,-102.83
Vema 1930,25.22,0.02522,4.41,1.38,-110.03
Vema 1930,25.45,0.02545,4.27,1.24,-98.83
Vema 1930,25.67,0.02567,4.14,1.11,-88.43
Vema 1930,25.9,0.0259,4.28,1.25,-99.63
Vema 1930,26.14,0.02614,4.42,1.39,-110.83
Vema 1930,26.37,0.02637,4.28,1.25,-99.63
Vema 1930,26.62,0.02662,4.19,1.16,-92.43
Vema 1930,26.88,0.02688,4.12,1.09,-86.83
Vema 1930,27.13,0.02713,4.17,1.14,-90.83
Vema 1930,27.4,0.0274,4.17,1.14,-90.83
Vema 1930,27.68,0.02768,4.23,1.2,-95.63
Vema 1930,27.95,0.02795,4.12,1.09,-86.83
Vema 1930,28.25,0.02825,4.2,1.17,-93.23
Vema 1930,28.55,0.02855,4.09,1.06,-84.43
Vema 1930,28.85,0.02885,3.98,0.95,-75.63
Vema 1930,29.17,0.02917,3.91,0.88,-70.03
Vema 1930,29.48,0.02948,3.89,0.86,-68.43
Vema 1930,29.81,0.02981,4.05,1.02,-81.23
Vema 1930,30.14,0.03014,4,0.97,-77.23
Vema 1930,30.47,0.03047,4.03,1,-79.63
Vema 1930,30.81,0.03081,3.99,0.96,-76.43
