Proxy,High,Low,Mean,Gradient
959 TEX86H,4.02,27.72,20.2,23.7
959 TEX86H,3.86,27.9,20.28,24.04
959 TEX86H,4.9,28.44,20.98,23.54
959 TEX86H,4.13,28.55,20.81,24.42
959 TEX86H,4.34,28.58,20.89,24.23
959 TEX86H,6.8,29.98,22.63,23.18
959 TEX86H,5.87,30.32,22.57,24.45
959 TEX86H,7.98,31.52,24.06,23.54
959 TEX86H,7.61,31.68,24.05,24.07
959 TEX86H,8.49,31.86,24.45,23.37
959 TEX86H,7.84,31.99,24.34,24.16
959 TEX86H,9.6,32.04,24.92,22.44
959 TEX86H,10.96,32.9,25.95,21.94
959 TEX86H,11.75,33.35,26.5,21.6
959 TEX86H,10.11,33.53,26.11,23.43
959 TEX86H,12.14,34.14,27.17,22
959 TEX86H,13.14,34.33,27.61,21.19
959 TEX86H,12.93,34.57,27.71,21.64
959 TEX86H,12.33,34.82,27.69,22.49
959 TEX86H,11.68,36.27,28.48,24.59
959 BAYSPAR,4.02,28.02,20.41,24.01
959 BAYSPAR,3.86,28.2,20.49,24.35
959 BAYSPAR,4.9,28.91,21.3,24.01
959 BAYSPAR,4.13,29.06,21.16,24.92
959 BAYSPAR,4.34,29.26,21.36,24.91
959 BAYSPAR,6.8,31.18,23.45,24.39
959 BAYSPAR,5.87,31.99,23.71,26.12
959 BAYSPAR,7.98,33.74,25.57,25.76
959 BAYSPAR,7.61,34.06,25.68,26.46
959 BAYSPAR,8.49,34.44,26.21,25.95
959 BAYSPAR,7.84,34.58,26.1,26.74
959 BAYSPAR,9.6,34.73,26.76,25.13
959 BAYSPAR,10.96,36.27,28.25,25.3
959 BAYSPAR,11.75,37.03,29.01,25.28
959 BAYSPAR,10.11,37.34,28.71,27.24
959 BAYSPAR,12.14,38.6,30.21,26.45
959 BAYSPAR,13.14,38.89,30.73,25.75
959 BAYSPAR,12.93,39.27,30.92,26.34
959 BAYSPAR,12.33,39.72,31.04,27.39
959 BAYSPAR,11.68,42.58,32.78,30.9
Eocene UK37+TEX86,20.52,33.32,29.26,12.8
Eocene UK37+TEX86,27.77,33.56,31.72,5.79
Eocene UK37+TEX86,2.84,25.38,18.24,22.55
Eocene CESM,6.3,29.3,22.01,23
