latitude,modern_surface_d18O_w,modern_surface_temp,modern_surface_d18O_c,modern_mixed_d18O_w,modern_mixed_temp,modern_mixed_d18O_c,modern_min_d18O_w,modern_min_temp,modern_min_d18O_c,modern_max_d18O_w,modern_max_temp,modern_max_d18O_c,eoc_surface_d18O_w,eoc_surface_temp,eoc_surface_d18O_c,eoc_mixed_d18O_w,eoc_mixed_temp,eoc_mixed_d18O_c,eoc_min_d18O_w,eoc_min_temp,eoc_min_d18O_c,eoc_max_d18O_w,eoc_max_temp,eoc_max_d18O_c
-77.5,-0.903246,-1.70093,3.35445,-0.8316,-1.67913,3.42098,-0.98,-1.76,3.29019,-0.729773,-1.6165,3.50813,-2.2951,5.56181,0.279465,-2.08598,2.93578,1.09263,-2.26851,-0.51627,0.414976,-1.9024,6.51468,1.72003
-75,-0.56884,-1.51007,3.64411,-0.49302,-1.47955,3.71278,-0.90499,-1.73695,3.36084,-0.281691,-1.08766,3.84074,-2.10456,7.06422,0.126669,-1.90844,4.46821,0.917066,-2.2922,-0.24465,0.330415,-1.61781,7.03838,1.62482
-72.5,-0.500797,-1.18381,3.63574,-0.41917,-1.29355,3.74306,-0.88223,-1.67772,3.37002,-0.180905,-0.745366,3.87469,-1.92528,8.24926,0.036264,-1.76771,6.03919,0.697593,-2.34398,1.66347,0.313189,-1.501,7.52842,1.32628
-70,-0.408371,-0.820352,3.64313,-0.3524,-1.04853,3.75247,-0.65128,-1.59278,3.58105,-0.139684,-0.367112,3.86494,-1.84272,9.55726,-0.17769,-1.59041,7.68724,0.498912,-2.39124,2.76475,-0.05155,-1.24485,9.89024,1.11665
-67.5,-0.366918,-0.498009,3.60925,-0.3113,-0.793818,3.734,-0.9822,-1.78921,3.2641,-0.094284,0.311577,3.89439,-1.74995,11.2568,-0.46841,-1.50019,9.47699,0.183002,-2.33051,3.81455,-0.43976,-1.01959,11.6674,1.00217
-65,-0.332084,-0.173488,3.56834,-0.28715,-0.528094,3.69606,-0.86481,-1.68405,3.22108,-0.101135,1.67274,3.87796,-1.44712,12.9294,-0.5411,-1.22697,11.3237,0.039485,-2.23112,4.60388,-0.6652,-0.49232,16.1259,0.917044
-62.5,-0.250921,0.610003,3.46692,-0.21493,0.170184,3.60535,-0.53714,-1.62544,2.97321,-0.115185,2.78843,3.83862,-1.33205,13.97,-0.6587,-1.09089,12.4192,-0.07053,-1.92075,5.23209,-1.17343,-0.33568,18.3361,0.872538
-60,-0.258585,1.21258,3.31917,-0.23513,0.791865,3.44041,-0.45273,-0.926065,2.75024,-0.117855,3.86322,3.79848,-1.27713,14.5397,-0.73083,-1.05942,12.8348,-0.13222,-1.89056,5.27777,-1.15265,-0.38004,18.6824,0.814539
-57.5,-0.252314,2.12314,3.11425,-0.23815,1.81445,3.19994,-0.3704,-0.228218,2.25981,-0.13295,5.59767,3.75547,-1.25577,15.1885,-0.85392,-1.1148,13.0965,-0.24619,-1.86083,5.742,-1.25545,-0.38399,20.311,0.764517
-55,-0.254637,3.03557,2.90093,-0.2421,2.78753,2.97077,-0.66521,0.009347,1.70614,-0.137246,6.59705,3.698,-1.17646,15.9472,-0.94317,-1.11237,13.7239,-0.38405,-1.86258,6.01505,-1.34119,-0.39421,19.6491,0.664076
